"icao","call_sign","time","lat","lon","baro_alt","geo_alt","velocity","heading","vertical_rate","diff_time","Time"
"4aaa15","SEJPU",1623060630,59.6592407226562,17.9705200195312,76.2,152.4,27.2703848134228,215.788973459183,6.82752,10,0
"4aaa15","SEJPU",1623060640,59.6561279296875,17.9703369140625,137.16,213.36,39.9547826792782,168.111341960372,4.8768,10,0.00337837837837838
"4aaa15","SEJPU",1623060650,59.6522703009137,17.9724015860722,175.26,251.46,49.1825683581392,164.219246690485,2.92608,10,0.00675675675675676
"4aaa15","SEJPU",1623060660,59.6479409427966,17.9746746194774,198.12,274.32,54.1511877139078,165.699722550814,2.92608,10,0.0101351351351351
"4aaa15","SEJPU",1623060670,59.6428070068359,17.9773864746094,236.22,320.04,58.1594811959943,164.611532167241,2.27584,10,0.0135135135135135
"4aaa15","SEJPU",1623060680,59.6376528982389,17.9803572029903,266.7,358.14,61.6925397402702,163.529571560391,4.55168,10,0.0168918918918919
"4aaa15","SEJPU",1623060690,59.6324855998411,17.9833879141972,289.56,381,61.3483906793247,162.932595181536,1.95072,10,0.0202702702702703
"4aaa15","SEJPU",1623060700,59.6272430419922,17.98681640625,304.8,403.86,62.2881011360417,157.671343621981,3.2512,10,0.0236486486486486
"4aaa15","SEJPU",1623060710,59.6219647940943,17.9912488213901,335.28,426.72,60.769752237143,166.787253121665,0.32512,10,0.027027027027027
"4aaa15","SEJPU",1623060720,59.6169891357422,17.994140625,350.52,441.96,59.0267046562439,149.63572899984,2.27584,10,0.0304054054054054
"4aaa15","SEJPU",1623060730,59.6123199462891,17.99853515625,365.76,457.2,59.0199788604506,165.358115458767,1.6256,10,0.0337837837837838
"4aaa15","SEJPU",1623060740,59.6071472167969,18.0012817382812,381,472.44,61.5013445024718,162.474431626277,1.6256,10,0.0371621621621622
"4aaa15","SEJPU",1623060750,59.6017913818359,18.0049438476562,403.86,495.3,61.8403629599245,160.057615418303,2.27584,10,0.0405405405405405
"4aaa15","SEJPU",1623060760,59.5964541677701,18.008770120555,411.48,495.3,63.6436052477111,159.660777887348,0,10,0.0439189189189189
"4aaa15","SEJPU",1623060770,59.5909610037076,18.0126532192888,396.24,487.68,64.4226864552446,161.854421340519,-1.6256,10,0.0472972972972973
"4aaa15","SEJPU",1623060780,59.58544921875,18.0160217285156,396.24,487.68,64.9117439950142,161.995838394087,0.65024,10,0.0506756756756757
"4aaa15","SEJPU",1623060790,59.5800933837891,18.0196838378906,396.24,487.68,65.8910189705401,160.857731808534,0,10,0.0540540540540541
"4aaa15","SEJPU",1623060800,59.5742797851562,18.0235290527344,396.24,487.68,67.1876468941483,161.703781606966,-0.97536,10,0.0574324324324324
"4aaa15","SEJPU",1623060810,59.5685228250794,18.0271438072468,403.86,487.68,67.8539740109523,162.801458779934,0.65024,10,0.0608108108108108
"4aaa15","SEJPU",1623060820,59.5626572431144,18.030742776805,403.86,495.3,68.6546671750156,162.108122870802,1.30048,10,0.0641891891891892
"4aaa15","SEJPU",1623060830,59.5568389892578,18.0345153808594,403.86,495.3,69.30307290128,161.834043470775,-0.97536,10,0.0675675675675676
"4aaa15","SEJPU",1623060840,59.5508422851562,18.0383605957031,403.86,495.3,68.4983683159836,162.517624817878,0.65024,10,0.0709459459459459
"4aaa15","SEJPU",1623060850,59.5452575683594,18.0420227050781,403.86,495.3,68.4906406119522,161.156774623053,-0.97536,10,0.0743243243243243
"4aaa15","SEJPU",1623060860,59.539241467492,18.0458963328394,403.86,495.3,68.4983683159836,162.517624817878,0.97536,10,0.0777027027027027
"4aaa15","SEJPU",1623060870,59.5332641601562,18.0496215820312,403.86,495.3,68.6893519567379,163.465162142655,-0.65024,10,0.0810810810810811
"4aaa15","SEJPU",1623060880,59.5272775423729,18.0530942719558,403.86,495.3,69.3297991513608,163.178590109959,0,10,0.0844594594594595
"4aaa15","SEJPU",1623060890,59.5215981693591,18.0565038220636,403.86,495.3,68.8375284614438,163.054676622621,-0.65024,10,0.0878378378378378
"4aaa15","SEJPU",1623060900,59.5155487060547,18.0602416992188,403.86,495.3,67.6762764920442,161.840509533213,-0.32512,10,0.0912162162162162
"4aaa15","SEJPU",1623060910,59.5099601099047,18.0637964709052,403.86,495.3,67.3627046604117,162.672078222759,0,10,0.0945945945945946
"4aaa15","SEJPU",1623060920,59.5039672851562,18.0675659179688,396.24,487.68,67.3627046604117,162.672078222759,0,10,0.097972972972973
"4aaa15","SEJPU",1623060930,59.4982754982124,18.0709944100216,396.24,487.68,68.1963389912313,163.342154443421,-0.32512,10,0.101351351351351
"4aaa15","SEJPU",1623060940,59.4923400878906,18.0736999511719,396.24,487.68,68.9143775263589,167.935115589475,-0.32512,10,0.10472972972973
"4aaa15","SEJPU",1623060950,59.4863115730932,18.0762981546336,403.86,495.3,69.4175415245188,168.023867555797,0,10,0.108108108108108
"4aaa15","SEJPU",1623060960,59.4801177978516,18.0785522460938,403.86,495.3,69.1903274196698,171.44816976618,0.32512,10,0.111486486486486
"4aaa15","SEJPU",1623060970,59.4737424688824,18.0796129950162,403.86,495.3,68.9431738410886,179.144902603733,0,10,0.114864864864865
"4aaa15","SEJPU",1623060980,59.4677581787109,18.0788269042969,396.24,487.68,67.7759225972878,186.100059960322,1.6256,10,0.118243243243243
"4aaa15","SEJPU",1623060990,59.4618530273438,18.0775451660156,411.48,502.92,66.1375736957428,185.355825042855,0.97536,10,0.121621621621622
"4aaa15","SEJPU",1623061000,59.4561309814453,18.0766296386719,403.86,502.92,65.5366120443233,184.502189492041,-0.32512,10,0.125
